ID; Date; Name of the company; Name of the product; Produced, mln r; Including export, mln r
1; 01.01.2018; Essence; Essence Mascara Lash Princess;99;14
2; 08.02.2019; Glamour Beauty; Eyeshadow Palette with Mirror;34;28
3; 15.03.2020; Velvet Touch; Powder Canister;89;71
4; 22.04.2021; Chic Cosmetics; Red Lipstick;91;44
5; 01.05.2022; Nail Couture; Red Nail Polish;79;9
6; 08.06.2023; Calvin Klein; Calvin Klein CK One;29;12
7; 15.07.2024; Chanel; Chanel Coco Noir Eau De;58;35
8; 22.08.2025; Dior; Dior J'adore;98;82
9; 01.09.2018; Dolce & Gabbana; Dolce Shine Eau de;4;1
10; 08.10.2019; Gucci; Gucci Bloom Eau de;91;19
11; 15.11.2020; Annibale Colombo; Annibale Colombo Bed;88;56
12; 22.12.2021; Annibale Colombo; Annibale Colombo Sofa;60;27
13; 01.01.2022; Furniture Co.; Bedside Table African Cherry;64;60
14; 08.02.2023; Knoll; Knoll Saarinen Executive Conference Chair;26;5
15; 15.03.2024; Bath Trends; Wooden Bathroom Sink With Mirror;7;3
